央视频道,#genre#
兵团卫视,http://60.220.167.249:8083/rtp/226.0.2.62:8408,0.2898
兵团卫视,http://60.220.167.143:8083/rtp/226.0.2.62:8408,0.2884
兵团卫视,http://117.29.232.157:9999/rtp/239.61.2.228:9356,0.2711
兵团卫视,http://60.220.167.202:8084/rtp/226.0.2.62:8408,0.1896
兵团卫视,http://171.212.150.200:19999/udp/239.93.42.43:5140,0.1848
兵团卫视,http://183.185.167.239:8083/rtp/226.0.2.62:8408,0.1066
内蒙古卫视,http://60.220.167.202:8084/rtp/226.0.2.63:8416,0.3513
内蒙古卫视,http://60.220.167.249:8083/rtp/226.0.2.63:8416,0.3496
内蒙古卫视,http://60.220.167.143:8083/rtp/226.0.2.63:8416,0.3162
内蒙古卫视,http://111.201.161.228:10000/rtp/239.3.1.43:8176,0.313
内蒙古卫视,http://117.29.232.157:9999/rtp/239.61.2.226:9344,0.2991
